tipo,creatura,hp,exp,exp_hp_ratio,danno_melee,danno_distanza_max,max_hit,attacchi
ranged,Hunter,150,150,1.0,25,100,100,Melee (~25) | Physical (100-50)
ranged,Minotaur Mage,155,150,0.968,29,95,95,Melee (~29) | Energyfield | Fire (95-35) | Energy (45-15)
ranged,Orc Shaman,115,110,0.957,26,45,45,Melee (~26) | Fire (45-5) | Energy (30-20)
ranged,Elf Arcanist,220,175,0.795,45,80,80,Melee (~45) | Physical (80-60) | Energy (50-30) | Physical (45-15)
ranged,Fire Elemental,280,220,0.786,110,155,155,Melee (~110) | Firefield | Fire (155-55)
ranged,Ice Goblin,120,85,0.708,127,55,127,Melee (~127) | Physical (55-0)
ranged,Beholder,260,170,0.654,33,50,50,Melee (~33) | Mana Drain (25-5) | Life Drain (45-35) | Poison (45-5) | Physical (50-30) | Fire (45-25) | Energy (45-15)
ranged,Minotaur Archer,100,65,0.65,30,85,85,Melee (~30) | Physical (85-45)
ranged,Dworc Voodoomaster,80,50,0.625,27,18,27,Melee (~27) | Poisonfield | Poison (18-6) | Illusion | Drunk | Paralyze | Life Drain (39-1)
ranged,Assassin,175,105,0.6,146,38,146,Melee (~146) | Drunk | Physical (38-28)
ranged,Carniphila,255,150,0.588,120,130,130,Melee (~120) | Poison (130-40) | Paralyze | Poison (90-60)
ranged,Merlkin,230,135,0.587,34,90,90,Melee (~34) | Poisonfield | Energy (45-15) | Fire (90-30)
ranged,Fire Devil,200,110,0.55,55,90,90,Melee (~55) | Fire (50-20) | Fire (90-60)
ranged,Amazon,110,60,0.545,35,30,35,Melee (~35) | Physical (30-20)
ranged,Dwarf Soldier,135,70,0.519,65,40,65,Melee (~65) | Physical (40-20)
ranged,Goblin,50,25,0.5,18,25,25,Melee (~18) | Physical (25-15)
ranged,Elf Scout,160,75,0.469,41,60,60,Melee (~41) | Physical (60-30)
ranged,Valkyrie,190,85,0.447,55,42,55,Melee (~55) | Physical (42-28)
ranged,Sibang,225,100,0.444,53,55,55,Melee (~53) | Physical (55-35)
ranged,Elf,100,42,0.42,24,35,35,Melee (~24) | Physical (35-15)
ranged,Dworc Fleshhunter,85,35,0.412,38,15,38,Melee (~38) | Physical (15-5)
ranged,Lizard Sentinel,265,105,0.396,72,70,72,Melee (~72) | Physical (70-40)
ranged,Orc Spearman,105,38,0.362,33,40,40,Melee (~33) | Physical (40-16)
ranged,Flamethrower,100,18,0.18,1,100,100,Melee (~1) | Fire (100-50)
ranged,Magicthrower,100,18,0.18,1,100,100,Melee (~1) | Poison (100-50)
ranged,Plaguethrower,100,18,0.18,1,100,100,Melee (~1) | Poison (100-50)
ranged,Shredderthrower,100,18,0.18,1,140,140,Melee (~1) | Physical (140-80)
ranged,Skulltrap,100,18,0.18,1,100,100,Melee (~1) | Poison (100-50)
ranged,Skunk,20,3,0.15,7,3,7,Melee (~7) | Poison (3-1)
ranged,Spit Nettle,150,20,0.133,16,37,37,Melee (~16) | Poisoncondition | Poison (37-17)
melee,Slime,150,160,1.067,88,0,88,Melee (~88)
melee,Scorpion,45,45,1.0,58,0,58,Melee (~58)
melee,Orc Berserker,210,195,0.929,228,0,228,Melee (~228)
melee,Giant Skeleton,200,180,0.9,50,0,50,Melee (~50) | Life Drain (40-20)
melee,Minotaur Guard,185,160,0.865,123,0,123,Melee (~123)
